player_id,season,appearances,minutes_played,goals,assists,yellow_cards,red_cards,name,date_of_birth,sub_position,position,foot,height_in_cm,age_at_season_end,market_value_eur
183334,2022,28,1523,4,2,3,0,Patrick Bamford,1993-09-05,Centre-Forward,Attack,left,185.0,29.815195071868583,9000000.0
184528,2022,1,1,0,0,0,0,Emil Krafth,1994-08-02,Right-Back,Defender,right,184.0,28.908966461327857,3000000.0
184573,2022,20,1360,0,0,1,0,Victor Lindelöf,1994-07-17,Centre-Back,Defender,right,187.0,28.95277207392197,18000000.0
186186,2022,36,2485,4,1,8,0,Bobby De Cordova-Reid,1993-02-02,Attacking Midfield,Midfield,right,170.0,30.403832991101986,7000000.0
186590,2022,23,1848,2,2,2,0,John Stones,1994-05-28,Centre-Back,Defender,right,188.0,29.089664613278575,40000000.0
186644,2022,33,2179,1,1,4,0,Mohamed Elyounoussi,1994-08-04,Second Striker,Attack,right,178.0,28.903490759753595,9000000.0
186901,2022,2,180,0,0,0,0,Marek Rodák,1996-12-13,Goalkeeper,Goalkeeper,right,194.0,26.543463381245722,3000000.0
188077,2022,32,1841,1,1,2,0,Ryan Christie,1995-02-22,Central Midfield,Midfield,left,178.0,28.35044490075291,10000000.0
191614,2022,35,1233,2,2,6,0,Fred,1993-03-05,Central Midfield,Midfield,both,170.0,30.31895961670089,20000000.0
192080,2022,37,3262,0,0,3,1,Nick Pope,1992-04-19,Goalkeeper,Goalkeeper,right,198.0,31.195071868583163,20000000.0
192279,2022,29,2565,0,0,1,0,Kepa Arrizabalaga,1994-10-03,Goalkeeper,Goalkeeper,right,188.0,28.739219712525667,18000000.0
192765,2022,31,2290,2,2,4,0,Ben Davies,1993-04-24,Centre-Back,Defender,left,181.0,30.182067077344286,15000000.0
193098,2022,19,1335,0,3,3,0,Álex Moreno,1993-06-08,Left-Back,Defender,left,179.0,30.05886379192334,15000000.0
193116,2022,34,2698,1,3,7,0,John McGinn,1994-10-18,Central Midfield,Midfield,left,178.0,28.698151950718685,27000000.0
197838,2022,37,1852,3,4,1,0,Jamie Vardy,1987-01-11,Centre-Forward,Attack,right,179.0,36.46543463381246,2500000.0
198516,2022,19,935,0,0,2,0,Harry Toffolo,1995-08-19,Left-Back,Defender,left,183.0,27.863107460643395,3500000.0
199527,2022,36,1243,4,2,0,0,Jacob Murphy,1995-02-24,Right Winger,Attack,right,179.0,28.344969199178646,15000000.0
202886,2022,25,1542,0,1,1,0,Ruben Loftus-Cheek,1996-01-23,Central Midfield,Midfield,right,191.0,27.433264887063654,25000000.0
203026,2022,26,2340,0,0,0,0,Danny Ward,1993-06-22,Goalkeeper,Goalkeeper,right,191.0,30.02053388090349,6000000.0
203394,2022,33,2718,4,6,8,0,Andreas Pereira,1996-01-01,Central Midfield,Midfield,right,178.0,27.49349760438056,18000000.0
203460,2022,28,2063,5,7,4,0,Jack Grealish,1995-09-10,Left Winger,Attack,right,180.0,27.802874743326488,75000000.0
203655,2022,1,6,0,0,0,0,Cafú,1993-02-26,Central Midfield,Midfield,right,185.0,30.338124572210816,600000.0
203853,2022,27,2136,1,2,3,0,Oleksandr Zinchenko,1996-12-15,Left-Back,Defender,left,175.0,26.537987679671456,42000000.0
204103,2022,34,1484,2,2,2,0,Adama Traoré,1996-01-25,Right Winger,Attack,right,178.0,27.42778918548939,10000000.0
204294,2022,15,124,0,0,0,0,Saman Ghoddos,1993-09-06,Attacking Midfield,Midfield,right,176.0,29.812457221081452,2000000.0
206040,2022,15,841,0,1,0,0,Raúl Jiménez,1991-05-05,Centre-Forward,Attack,right,188.0,32.153319644079396,6000000.0
206746,2022,31,2575,1,5,8,0,Kenny Tete,1995-10-09,Right-Back,Defender,right,180.0,27.72347707049966,15000000.0
207014,2022,27,828,1,1,4,0,Will Hughes,1995-04-17,Central Midfield,Midfield,left,185.0,28.202600958247775,5000000.0
207929,2022,2,38,0,0,0,0,Dele Alli,1996-04-11,Attacking Midfield,Midfield,right,188.0,27.21697467488022,8000000.0
209212,2022,33,2728,7,7,2,0,Solly March,1994-07-20,Right Winger,Attack,left,180.0,28.944558521560573,22000000.0
212847,2022,27,1987,0,0,2,0,Adam Webster,1995-01-04,Centre-Back,Defender,right,190.0,28.484599589322382,25000000.0
214056,2022,20,1610,0,0,1,0,Daniel Amartey,1994-12-21,Centre-Back,Defender,right,186.0,28.522929500342233,12000000.0
215118,2022,14,344,0,0,2,0,Calum Chambers,1995-01-20,Centre-Back,Defender,right,182.0,28.44079397672827,8000000.0
215876,2022,10,453,1,1,2,0,Ricardo Pereira,1993-10-06,Right-Back,Defender,right,175.0,29.730321697467488,10000000.0
217111,2022,18,653,0,3,1,0,Hakim Ziyech,1993-03-19,Right Winger,Attack,left,180.0,30.28062970568104,16000000.0
217115,2022,27,1115,1,0,4,0,Neal Maupay,1996-08-14,Centre-Forward,Attack,right,171.0,26.874743326488705,10000000.0
225083,2022,7,520,0,1,1,0,N'Golo Kanté,1991-03-29,Defensive Midfield,Midfield,right,168.0,32.25462012320329,15000000.0
225122,2022,13,709,1,1,1,0,Gonçalo Guedes,1996-11-29,Left Winger,Attack,right,179.0,26.581793292265573,23000000.0
225161,2022,35,3023,6,1,12,0,Rúben Neves,1997-03-13,Defensive Midfield,Midfield,right,183.0,26.297056810403834,40000000.0
225693,2022,36,2677,0,2,11,0,Fabinho,1993-10-23,Defensive Midfield,Midfield,right,188.0,29.683778234086244,42000000.0
226973,2022,37,2879,3,4,5,0,Harrison Reed,1995-01-27,Central Midfield,Midfield,right,181.0,28.421629021218344,18000000.0
228645,2022,17,797,0,1,1,0,Wout Weghorst,1992-08-07,Centre-Forward,Attack,right,197.0,30.89390828199863,12000000.0
228948,2022,27,2230,0,2,4,0,Thilo Kehrer,1996-09-21,Centre-Back,Defender,both,186.0,26.770704996577688,18000000.0
230784,2022,33,2486,3,0,5,0,Thomas Partey,1993-06-13,Defensive Midfield,Midfield,right,185.0,30.04517453798768,35000000.0
231572,2022,36,2635,0,1,11,1,Nélson Semedo,1993-11-16,Right-Back,Defender,right,179.0,29.61806981519507,15000000.0
232964,2022,1,8,0,0,0,0,Emiliano Marcondes,1995-03-09,Attacking Midfield,Midfield,right,182.0,28.309377138945926,1500000.0
234781,2022,14,234,0,0,0,0,Maxwel Cornet,1996-09-27,Left Winger,Attack,left,179.0,26.754277891854894,12000000.0
